Hand(hand='acdei', bid=355, type=1, og_hand='2456T')
Hand(hand='adbfm', bid=551, type=1, og_hand='2537A')
Hand(hand='aedgm', bid=221, type=1, og_hand='2658A')
Hand(hand='afcbg', bid=211, type=1, og_hand='27438')
Hand(hand='ahgel', bid=26, type=1, og_hand='2986K')
Hand(hand='ailbd', bid=577, type=1, og_hand='2TK35')
Hand(hand='alkim', bid=501, type=1, og_hand='2KQTA')
Hand(hand='almhk', bid=167, type=1, og_hand='2KA9Q')
Hand(hand='bdagl', bid=291, type=1, og_hand='3528K')
Hand(hand='bdcke', bid=131, type=1, og_hand='354Q6')
Hand(hand='bdhal', bid=924, type=1, og_hand='3592K')
Hand(hand='bdklc', bid=67, type=1, og_hand='35QK4')
Hand(hand='bdmlc', bid=358, type=1, og_hand='35AK4')
Hand(hand='bedlm', bid=734, type=1, og_hand='365KA')
Hand(hand='beihg', bid=241, type=1, og_hand='36T98')
Hand(hand='bfcme', bid=956, type=1, og_hand='374A6')
Hand(hand='bfega', bid=600, type=1, og_hand='37682')
Hand(hand='bfgid', bid=279, type=1, og_hand='378T5')
Hand(hand='bghme', bid=738, type=1, og_hand='389A6')
Hand(hand='bgmad', bid=508, type=1, og_hand='38A25')
Hand(hand='bkcma', bid=126, type=1, og_hand='3Q4A2')
Hand(hand='bklfh', bid=157, type=1, og_hand='3QK79')
Hand(hand='bldik', bid=165, type=1, og_hand='3K5TQ')
Hand(hand='blkea', bid=819, type=1, og_hand='3KQ62')
Hand(hand='caekh', bid=72, type=1, og_hand='426Q9')
Hand(hand='cdbgf', bid=944, type=1, og_hand='45387')
Hand(hand='cdikl', bid=367, type=1, og_hand='45TQK')
Hand(hand='cfkgm', bid=553, type=1, og_hand='47Q8A')
Hand(hand='cfmki', bid=348, type=1, og_hand='47AQT')
Hand(hand='cgeha', bid=691, type=1, og_hand='48692')
Hand(hand='cgelb', bid=980, type=1, og_hand='486K3')
Hand(hand='ciheg', bid=840, type=1, og_hand='4T968')
Hand(hand='clbah', bid=222, type=1, og_hand='4K329')
Hand(hand='cledg', bid=210, type=1, og_hand='4K658')
Hand(hand='cmbek', bid=34, type=1, og_hand='4A36Q')
Hand(hand='damcl', bid=5, type=1, og_hand='52A4K')
Hand(hand='dcmfl', bid=892, type=1, og_hand='54A7K')
Hand(hand='deagc', bid=183, type=1, og_hand='56284')
Hand(hand='degic', bid=992, type=1, og_hand='568T4')
Hand(hand='dehba', bid=539, type=1, og_hand='56932')
Hand(hand='dhlek', bid=850, type=1, og_hand='59K6Q')
Hand(hand='dhlkc', bid=723, type=1, og_hand='59KQ4')
